uniforme	exponenziale	lorentziana
0.837074	2.57134	0.538345
0.628345	0.447599	1.06009
0.234336	0.0870266	0.859035
0.566032	0.455817	-0.108129
0.817917	0.181151	-0.747204
0.00476998	0.667279	2.00485
0.169986	0.0072453	1.9414
0.0639439	0.440518	0.932544
0.358179	0.989629	-0.508315
0.462196	0.0375566	0.666777
0.356038	0.16137	2.40862
0.689248	0.152214	1.19082
0.538883	0.279165	0.113226
0.845162	0.911685	-0.426236
0.0483756	0.223506	-3.87848
0.977791	0.492147	-8.96049
0.37887	1.0649	-0.415919
0.973023	0.568982	0.343416
0.679433	1.84121	-0.461119
0.134949	0.48943	0.950641
0.978424	0.618954	-0.563799
0.260599	0.12938	-1.05683
0.0614458	1.00594	0.476555
0.0766588	1.58752	4.88143
0.0256864	0.35181	2.93318
0.0403574	1.57161	-0.175816
0.217318	0.816656	-0.92582
0.40233	2.4041	2.83153
0.475299	5.76293	3.40939
0.0863415	1.45935	0.900168
0.639295	1.13133	1.11996
0.225996	0.277201	-3076.41
0.761399	0.906574	0.575268
0.567874	4.85993	-15.3475
0.387359	0.776904	0.153445
0.568053	0.0549911	1.98854
0.0265076	0.0855808	-0.785089
0.300133	1.62573	-1.52403
0.917484	0.483902	-7.90532
0.284047	0.571072	0.467424
0.65712	4.05805	-0.70008
0.953189	0.941615	0.0770015
0.232203	0.194218	0.256261
0.226594	0.798078	-0.469055
0.382685	0.651769	-17.0987
0.106316	0.325485	-0.440138
0.323322	0.821718	-1.33406
0.730025	0.166271	-1.07761
0.627676	0.195595	1.01361
0.497116	3.7112	24.0907
0.97417	0.736668	-15.4117
0.584586	0.126803	-1.41853
0.360994	0.77601	3.50391
0.352969	0.532723	0.0956449
0.945075	0.374593	7.95624
0.719037	0.821209	-1.40013
0.860886	0.937272	0.138211
0.674782	0.755187	4.27627
0.113197	3.24491	-0.46387
0.909429	0.729605	-0.564363
0.448942	1.66945	-1.29121
0.170336	0.567653	-0.576342
0.10272	0.491842	0.934005
0.331367	3.39221	-0.767168
0.0288199	1.05118	1.04634
0.138316	1.10776	1.62261
0.743516	0.712704	-2.42116
0.807795	3.43519	-0.520567
0.223713	1.42669	-8.3353
0.94728	0.921739	-0.381974
0.849433	3.7066	0.130855
0.59043	1.59616	0.568407
0.914034	1.11044	1.5347
0.330546	1.82315	-6.3914
0.418844	1.67755	-0.200068
0.647583	0.416086	0.511131
0.250293	0.461107	0.858508
0.0535539	0.510671	-4.39859
0.631056	3.64027	0.212357
0.192793	0.362528	1.03707
0.816197	0.0539506	4.78537
0.661442	2.27507	-0.173063
0.737637	0.944161	9.21848
0.837243	0.100171	-2.34005
0.947816	0.133823	-0.00665654
0.0691815	0.99273	-13.5557
0.016319	0.264497	1.26136
0.825335	0.736044	-0.00282581
0.524456	0.185241	0.785557
0.333778	1.36917	2.30191
0.849299	0.140601	-1.67593
0.639281	1.5062	-0.687722
0.427265	0.200053	-2.59623
0.698243	1.56766	0.43989
0.283633	1.31706	0.609805
0.438752	0.136542	-1.13379
0.748285	0.906645	-0.569842
0.101775	1.6869	0.671468
0.298986	1.15673	0.0835529
0.720175	2.1572	-0.890678
0.504788	0.502348	-0.530107
0.022902	0.348494	1.53545
0.710849	0.325646	-4.63772
0.903232	0.241956	3.5505
0.694525	1.45811	7.18151
0.50624	0.464835	-0.120281
0.0329847	0.881772	0.664116
0.726783	0.0814974	-0.466146
0.983601	0.410388	0.163897
0.294497	4.38547	-0.0812057
0.662384	2.2811	0.326011
0.0913039	0.662354	0.0588304
0.960694	1.3142	-2.19911
0.45198	0.897359	2.15972
0.978408	0.54273	0.528207
0.829737	0.144273	1.87004
0.87361	0.476697	-0.118997
0.0620709	0.123854	3.01126
0.00370096	1.82572	-0.888161
0.61447	0.135079	0.670949
0.084612	1.19469	0.923893
0.378054	0.0634882	-1.11574
0.390275	1.17706	0.792456
0.387219	0.737741	0.294483
0.48153	0.745067	2.20096
0.104688	0.0901801	1.8144
0.996142	1.69115	0.0962888
0.184391	0.74928	-1.99106
0.947785	1.03104	-0.57741
0.718657	1.36437	-2.10787
0.125813	2.40965	-0.666685
0.657868	0.367014	-1.41061
0.255506	1.40282	-2.17365
0.362438	0.528437	2.35621
0.635687	4.18345	1.86607
0.876025	0.0489807	1.28593
0.774913	0.534699	-4.21046
0.862239	0.805028	1.02641
0.160142	0.276902	-1.2377
0.829501	4.04266	7.53503
0.906843	0.426041	0.618619
0.852021	2.18176	-1.24255
0.397241	0.00574436	1.04469
0.439273	0.499082	1.15758
0.704324	0.584062	-17.1906
0.388684	0.497045	4.95455
0.99928	0.102583	59.8555
0.530685	2.98519	0.0668197
0.6577	2.28062	0.669356
0.406335	0.513873	-0.783417
0.531612	0.685447	0.172287
0.237309	0.826393	0.264923
0.824037	0.714626	-1.63973
0.999184	0.0227234	0.267099
0.175706	0.196904	-0.163214
0.45512	1.21444	-0.982854
0.477198	0.734582	-0.232762
0.993487	1.63048	2.84859
0.435373	0.219113	-15.7055
0.383927	0.0235351	0.131677
0.175606	1.62262	5.28258
0.250658	0.2501	2.55259
0.728535	1.84063	0.739497
0.754154	0.290642	1.59717
0.869635	0.141287	0.881387
0.349194	0.036287	-1.89099
0.174366	0.270416	-1.63718
0.208866	0.889138	20.9572
0.522781	2.26137	-0.969892
0.966389	0.756496	5.58963
0.474622	3.52908	0.249363
0.440658	0.00384006	3.19316
0.167109	0.986785	0.504965
0.697521	0.112109	-2.47564
0.989643	0.0238334	1.07029
0.299232	0.73008	26.5529
0.66449	0.370527	0.227255
0.0167567	0.550101	0.180706
0.968737	4.25367	-0.37223
0.197885	0.234866	-0.231754
0.355083	0.287813	-1.68461
0.438437	0.979088	-1.02981
0.55018	0.644892	3.87518
0.046751	0.828079	-0.428519
0.741527	1.38374	1.21126
0.0487711	2.22105	0.550005
0.330245	0.0656973	0.116108
0.699807	0.140219	-0.404383
0.223039	0.739512	-0.624856
0.846695	0.484051	2.71565
0.839764	0.874274	1.3865
0.874752	0.109106	0.0824954
0.343778	0.318337	-0.388925
0.690321	0.467215	0.333514
0.580503	0.247372	-1.05653
0.824837	0.408381	1.1165
0.0835889	1.26928	0.0330748
0.0550344	4.12134	-0.132955
0.875986	0.912851	2.66489
0.125409	0.0932972	0.148541
0.26972	0.297336	0.257504
0.764857	0.670597	-1.2071
0.789509	0.652194	-1.04188
0.98272	3.1758	-2.33906
0.442049	0.045369	0.510757
0.885737	1.02774	1.28797
0.95732	0.784923	-0.0533534
0.956913	0.358371	-2.72104
0.522381	0.301608	0.135823
0.124483	0.414127	-0.593462
0.17212	0.0535259	1.08041
0.174768	0.516386	0.322916
0.824678	0.561419	0.147653
0.448075	0.230382	17.7941
0.819825	0.184355	-0.897697
0.531872	0.510671	0.3827
0.545827	1.01248	1.44892
0.844173	0.0644848	-0.494796
0.303452	0.138171	1.83474
0.37051	1.39833	0.087434
0.48743	0.168273	-3.70439
0.835211	2.47645	-5.25515
0.958045	0.0083893	1.23716
0.272417	0.491807	-2.02802
0.813705	0.125378	1.03868
0.717146	3.8671	-0.0541548
0.839879	1.33147	7.46868
0.309226	0.180312	-0.380374
0.928273	0.490044	-5.6533
0.732624	1.25826	0.105325
0.425227	1.42387	0.418424
0.0140779	0.617216	-5.08449
0.676259	0.61515	-1.37969
0.251139	4.75187	-44.8747
0.53634	2.48621	-2.87825
0.922692	1.2521	0.892871
0.0147617	0.16077	4.93453
0.291146	1.64051	-1.33075
0.676043	1.69122	-0.214841
0.509679	1.30558	-1.53171
0.854697	1.28043	-0.216401
0.687627	2.41835	-0.848541
0.942463	0.578848	0.373387
0.225905	0.716996	-56.0538
0.114757	0.248468	0.15296
0.221212	1.44553	-0.282042
0.450511	0.752357	29.1392
0.916129	0.0518453	2.07179
0.141654	1.51187	0.322499
0.950789	0.0942501	-3.12537
0.939308	0.217422	0.605715
0.735397	0.687397	4.37979
0.881835	0.0578064	-0.248014
0.730951	1.81777	-0.743369
0.320904	0.669622	0.175964
0.641105	0.0675528	0.105169
0.723986	0.267379	4.14824
0.880277	0.129267	-0.56289
0.245332	0.705944	-21.2911
0.250173	0.0410034	0.0857961
0.298112	2.1817	0.624348
0.659245	7.78059	0.4993
0.333941	3.27553	-7.55432
0.233304	1.08408	4.59846
0.0889821	0.0774207	-1.35243
0.611625	0.595063	4.9131
0.17447	1.06009	-1.1914
0.168172	0.570593	3.21425
0.215872	2.1279	-0.128336
0.94591	0.0358069	-0.309357
0.178632	0.716294	2.20578
0.869037	0.4413	-0.758987
0.707562	0.114675	-10.9732
0.540393	0.674333	0.693025
0.271037	0.118644	-22.788
0.411581	0.655214	-1.52734
0.965578	0.644582	-0.361491
0.434666	0.316038	13.1151
0.495672	1.34023	-1.38979
0.419628	0.79399	1.50445
0.607906	0.708831	-0.0345463
0.94091	0.410399	0.636432
0.975427	0.221582	-0.817106
0.497157	1.09329	-0.386942
0.611483	1.59473	-5.12116
0.920579	0.957908	-1.44962
0.317344	0.159104	4.06129
0.0781606	0.286262	4.00615
0.560421	0.933557	-0.129473
0.00773384	0.231068	-0.21318
0.191413	0.151114	2.0026
0.313179	3.03581	-0.698758
0.137271	0.613586	-0.326746
0.332167	0.373232	4.19905
0.187427	0.174871	1.53063
0.0808251	1.42988	1.04402
0.889828	0.732504	-0.741014
0.847733	1.18712	0.920396
0.530119	2.39261	1.31566
0.752479	2.08596	-3.97992
0.232799	2.9079	0.593393
0.979393	0.222851	-1.65218
0.258658	0.634496	0.0149211
0.177196	1.42968	2.84401
0.912626	0.0984936	0.04212
0.772946	0.413946	-1.62612
0.0975669	0.922989	0.434442
0.501431	0.69538	-0.478003
0.429191	0.375051	-3.7869
0.902267	0.592355	1.01183
0.600838	0.105991	-0.600455
0.185454	0.711234	-1.42611
0.668064	0.291699	-44.8705
0.129131	0.271027	-0.133292
0.971947	0.969444	-3.77843
0.997653	2.13335	3.38593
0.0932191	3.16964	-0.981996
0.520802	0.558612	0.477566
0.075725	1.7552	0.227114
0.212687	0.3214	0.0293904
0.968208	1.89933	0.468308
0.842221	0.434122	12.8402
0.983623	0.538208	1.5837
0.844562	2.21322	1.49097
0.243061	1.95428	-0.467235
0.0155824	3.97102	-0.039522
0.445397	2.28342	0.23763
0.927049	1.13302	1.53949
0.837588	1.76411	-0.770121
0.874605	1.16818	-7.92095
0.0651136	0.262327	-0.345878
0.808824	1.33302	-0.678176
0.286204	1.85921	0.00348057
0.159236	0.514045	1.2348
0.878827	0.537422	2.8643
0.637695	0.543237	-0.122768
0.145355	1.13375	-2.82897
0.855494	1.7303	1.43294
0.280143	1.99523	0.886242
0.927135	0.0982488	-13.7165
0.606439	0.251882	0.637654
0.672573	0.518871	2.2166
0.706941	0.176492	-3.27879
0.870067	1.84638	-2.86556
0.652773	3.37395	-0.359561
0.284327	0.199808	120.261
0.670112	0.314404	0.430459
0.211636	0.916392	-2.81163
0.440557	0.46557	13.1526
0.595228	1.75214	11.7365
0.149492	0.186111	1.78464
0.618209	2.53874	-1.67945
0.806322	0.0474811	0.0331195
0.90349	0.154	-1.02166
0.273166	0.814522	-0.693774
0.968682	0.611	1.61643
0.686529	1.60545	0.522285
0.639109	0.080708	-0.433903
0.797625	2.51322	0.555721
0.512474	0.942369	0.529166
0.40158	3.42399	-0.390655
0.0963579	0.397434	-3.26157
0.0753072	1.77603	-0.186909
0.833566	0.0680211	2.54954
0.173633	0.861831	0.0768187
0.0339957	0.309274	1.13598
0.884053	1.06955	-0.53932
0.760096	0.0258293	0.0709124
0.725503	0.0401761	-0.798956
0.48894	0.64788	0.0183959
0.244816	0.246179	-1.57082
0.274183	5.70893	-16.8576
0.501145	0.0928295	-0.13405
0.978149	0.755739	-1.60764
0.808308	0.0585091	1.71806
0.897754	1.01097	-5.03916
0.954618	0.849188	-0.340152
0.318188	0.00915136	-2.45913
0.78054	0.534759	-0.584586
0.529519	0.173969	-0.935394
0.815908	0.760362	1.48299
0.472791	0.520477	0.38648
0.00759478	0.193884	0.35092
0.139388	0.819324	-11.298
0.444089	1.99796	34.6472
0.577271	1.38493	-0.257844
0.671389	0.113532	-0.489835
0.724235	1.51142	-0.0431438
0.850244	1.63129	0.271425
0.0478478	0.0384446	-1.07279
0.0742912	0.696925	1.21294
0.40918	0.142755	1.09949
0.0875199	1.14418	-1.03487
0.457907	0.477116	-0.325095
0.818697	1.44683	3.17442
0.238509	1.29058	-2.33634
0.180347	0.00792219	-0.745219
0.677349	1.27878	0.994245
0.0192224	1.41101	0.0515599
0.0187332	0.259636	-32.172
0.159779	0.193153	0.091377
0.182089	2.73262	0.162806
0.314887	0.528449	-0.215492
0.312692	1.97176	-4.44818
0.991488	0.133059	-40.3092
0.0364118	0.935482	-0.887424
0.765351	0.0864822	-1.43434
0.379147	0.257012	0.295699
0.97508	0.635	-0.252116
0.950324	0.140693	-0.398387
0.201182	0.309723	3.36912
0.329219	0.510354	-2.18115
0.650009	0.176673	-0.00699009
0.167726	0.603123	-0.627327
0.329592	0.278584	-0.61766
0.13281	0.269925	2.21909
0.29994	3.63453	-8.64004
0.430761	0.547002	-10.8093
0.543911	0.529122	1.17859
0.239609	1.31995	10.4112
0.0832596	0.644821	-0.420712
0.604006	0.0382836	2.84874
0.711003	0.737651	0.00683548
0.646376	4.04522	-0.406219
0.755571	2.19125	4.72207
0.973346	0.758682	-0.999961
0.573224	3.49581	-0.987789
0.19228	2.31876	0.0202748
0.357331	2.18159	2.42426
0.0338551	0.326611	-0.884223
0.25164	0.200333	0.403137
0.925531	1.63226	22.0198
0.426697	0.410586	0.512821
0.555418	1.29906	-0.971979
0.719873	1.44095	0.0306196
0.567296	1.37117	1.46901
0.918564	1.28956	-0.808561
0.702033	0.205423	0.785897
0.17193	0.691407	-1.24503
0.693809	0.58734	-0.140097
0.563692	0.0649445	4.43751
0.349924	0.299663	3.42486
0.664965	1.7083	0.28245
0.337053	1.75712	0.162119
0.728523	2.97565	-1.71229
0.901121	0.904696	2.96678
0.105444	1.12597	-2.65387
0.621832	1.1583	-0.326221
0.622356	1.36173	2.15158
0.754678	0.413864	-2.77522
0.984439	1.17763	1.00966
0.947295	0.628158	-3.03408
0.973275	0.191308	-0.859747
0.140087	0.110666	0.159538
0.768514	0.272008	0.471419
0.50001	0.730146	-0.522144
0.930589	0.929888	0.255958
0.730889	0.821246	-1.43252
0.624259	0.162659	0.554429
0.750754	1.14395	2.23683
0.166504	0.796831	0.0794916
0.866281	1.58246	0.775577
0.398166	2.6905	-1.19268
0.516878	0.296494	0.782617
0.00361649	0.280046	0.559067
0.371414	2.89786	1.44163
0.28417	0.566236	15.4757
0.426091	0.555224	-0.865832
0.292135	0.257901	0.182691
0.970907	0.20804	0.426153
0.277415	0.806295	1.01345
0.73687	0.0417089	-0.120982
0.949367	0.40677	-1.63361
0.75398	1.40831	0.979072
0.817122	0.0324427	-6.4218
0.777706	0.417176	0.436181
0.145842	0.591221	-0.916058
0.724022	0.577476	0.01768
0.539992	1.12908	-8.38264
0.365486	0.310999	-0.316062
0.513004	0.267934	-1.29529
0.331875	1.83136	112.987
0.968271	1.33404	4.40272
0.837372	0.264748	14.697
0.235974	0.12781	-2.31513
0.263633	3.64914	4.70117
0.507123	1.65959	-0.0171039
0.446447	1.99834	-2.03483
0.104551	0.544411	3.02662
0.37438	0.943822	-0.292397
0.181776	0.726322	-0.190707
0.276555	1.11706	10.479
0.493102	0.309126	0.297933
0.304492	1.32363	-1.28358
0.0570392	0.151444	0.563605
0.254571	1.87436	-4.43342
0.635964	0.106386	-1.3758
0.291468	1.47911	-0.78361
0.795402	1.44381	3.86084
0.788647	0.681277	2.37531
0.613565	0.901725	-0.646298
0.33568	1.43789	0.123858
0.963433	1.32906	-0.831153
0.829737	0.352194	2.47486
0.163922	0.616676	-1.07172
0.0620779	0.924748	0.0596568
0.722213	0.466472	-2.89649
0.313252	0.707719	1.53402
0.126069	0.143994	-2.313
0.242102	0.219919	-0.021158
0.762127	1.67483	-0.181042
0.841455	1.81544	0.600034
0.19205	0.647643	0.647016
0.432521	0.00809114	1.30855
0.685487	0.19309	-35.2424
0.750043	0.73894	0.167722
0.22156	2.29278	-0.483362
0.0135416	1.15271	-2.26155
0.515767	0.767592	8.14984
0.280203	1.31725	6.56782
0.03117	0.682255	-0.000988056
0.0613591	0.921772	31.9994
0.227223	0.468915	0.798602
0.147608	1.16026	-1.16325
0.0252609	0.310246	0.211867
0.995906	2.52266	0.493663
0.844391	1.05569	-2.485
0.340814	0.0559008	-0.543792
0.84865	0.492736	0.0220338
0.359336	2.16729	1.80832
0.0524509	1.40351	2.44455
0.25308	0.323673	1.99377
0.315948	0.00150437	-3.48873
0.992842	0.473753	0.0144163
0.775297	0.294241	-5.16309
0.294861	1.64493	-0.153777
0.957794	0.619774	-0.441378
0.407746	4.53458	0.224289
0.800831	1.22459	-2.31281
0.771248	0.499417	0.273676
0.711188	1.04068	-0.778186
0.441898	0.382099	1.00672
0.338643	3.12753	-0.154261
0.143107	0.79753	2.07484
0.505675	0.0359545	-2.37629
0.0358415	0.99999	-0.0225699
0.0538289	0.461656	1.64325
0.707245	0.703074	-1.40997
0.0384679	0.492632	-0.483728
0.867936	2.50491	-0.897203
0.395792	1.73698	0.0290366
0.395745	2.5205	1.90943
0.0127018	0.122532	-81.6096
0.897695	1.35701	-2.00483
0.290062	0.837946	-0.515813
0.754763	0.63722	0.530148
0.00077844	0.550498	-0.628741
0.857502	1.50523	0.4538
0.93544	0.868808	-0.906863
0.447283	0.63131	-0.62555
0.19967	0.61238	9.69575
0.211162	1.27208	92.9483
0.593183	0.940667	1.55317
0.842185	0.797747	-1.32825
0.321416	0.426871	-1.48151
0.901384	0.167217	0.155662
0.00813027	1.38627	0.660107
0.694565	0.591472	-11.1418
0.20793	2.2604	0.374269
0.706368	0.704261	-0.0218674
0.195995	0.76874	-1.20288
0.661881	3.06871	3.30578
0.316424	0.179777	-0.329287
0.618603	0.0961995	0.409965
0.592781	1.22016	0.162169
0.790585	0.878657	-2.24399
0.675761	2.05155	-4.78907
0.278418	0.754384	1.25167
0.411264	2.26402	3.84721
0.28331	1.47817	-1.06806
0.294278	0.102739	-0.469117
0.103603	0.0885206	4.56706
0.999423	2.15645	-12.2744
0.233355	0.680333	-2.91724
0.178935	1.49726	8.28369
0.84878	0.181736	-0.607654
0.154015	1.4657	-2.85618
0.788471	0.696113	-3.95716
0.321069	0.910293	0.101382
0.429402	0.0757621	0.30789
0.910381	1.83672	0.110301
0.858257	0.109202	1.44386
0.275893	2.3072	-1.40905
0.0120596	0.920375	-1.41933
0.101857	0.525896	-4.20281
0.268639	0.0629655	-3.55033
0.715641	1.11466	-0.29458
0.693013	0.591741	-0.398173
0.847672	0.245948	10.6047
0.733943	0.727499	1.16269
0.817879	0.87628	1.25283
0.179656	3.48588	-4.06521
0.569233	0.920585	-2.65673
0.484182	3.5879	-0.261391
0.15279	3.45471	2.5296
0.405427	0.309309	-0.491891
0.727457	0.324108	-0.669277
0.455974	1.6552	0.888997
0.291782	0.665559	-1.42107
0.129058	0.274283	0.011523
0.388241	1.00967	0.314004
0.0146958	0.488683	-0.0343169
0.453802	2.46776	0.728968
0.506989	0.152407	-0.224624
0.222913	0.163386	0.0862883
0.889049	1.04906	0.31342
0.75837	1.63069	0.253679
0.127284	1.15673	-1.09666
0.492984	0.988123	-4.91386
0.814538	1.72894	0.117315
0.0323018	1.06097	-0.852903
0.830006	0.145711	1.63212
0.904957	1.06896	-7.97017
0.027805	0.165967	-0.268948
0.431036	1.26796	0.662472
0.119261	1.38825	-0.214938
0.496219	2.02066	-0.855843
0.739257	1.93754	0.679485
0.539524	0.676462	0.417473
0.433932	1.08384	-0.364326
0.565774	0.193144	-1.14764
0.827811	0.0739037	53.5138
0.110062	0.482506	0.711689
0.856693	1.95976	0.589141
0.326352	1.70986	1.77178
0.821302	0.818464	-0.574023
0.51682	0.173824	-1.08828
0.904512	1.02079	-4.61639
0.753182	2.14731	-1.24059
0.602517	0.452398	-0.661498
0.544865	0.438718	4.53827
0.290222	0.0859534	0.997237
0.959628	0.622451	-0.0199424
0.84878	0.270731	0.831973
0.81437	0.329979	0.0419002
0.436765	0.176501	1.39867
0.354385	0.559455	0.92909
0.888571	0.291661	-0.824422
0.341587	0.739174	-1.02358
0.0574729	1.08204	1.29411
0.436666	1.43836	-1.01714
0.138921	2.96887	4.67003
0.173731	0.145504	1.43467
0.312697	0.877384	0.469583
0.0657237	0.0489468	-4.27656
0.551039	0.180064	1.16112
0.265828	0.3259	-82.7911
0.471826	0.15796	-3.20958
0.694292	0.225239	-0.86091
0.298315	0.525178	0.323838
0.698062	0.0491179	-0.523491
0.238182	0.385771	6.6428
0.770585	0.0453274	3.4172
0.331723	0.543486	0.193016
0.710231	4.93252	0.859452
0.0515272	0.45808	6.83011
0.27289	0.871194	-3.26922
0.224852	0.22168	-4.32738
0.947491	0.782451	-7.14644
