N=1	N=2	N=10	N=100
0.1388	0.577701	1.34935	1.05207	
0.338486	1.0218	0.839841	1.00341	
0.0687282	1.27008	0.994335	0.947302	
0.0262244	0.225925	0.757425	0.865799	
1.60073	1.18079	0.89697	1.02439	
2.04359	1.6099	1.37486	1.19397	
0.806301	0.0564323	1.44964	1.14662	
1.32557	1.07601	0.761958	0.986768	
0.102083	0.718034	0.656874	1.01067	
2.07577	0.732758	1.10616	1.05145	
0.554076	2.69853	1.81885	0.85089	
0.694003	1.88035	1.3404	0.765083	
0.920538	0.662453	1.18285	1.25092	
1.12644	1.63223	0.666384	0.870109	
0.858444	1.59945	0.485041	1.14059	
0.148682	0.24805	1.66206	1.08971	
3.26701	1.9203	0.754746	1.01868	
0.468988	0.549558	1.7748	1.09776	
0.581885	0.507718	1.48064	1.09537	
2.29099	1.35942	0.836638	0.910345	
1.34227	0.266273	1.32909	0.790499	
0.486625	1.25799	1.40601	1.00066	
2.01059	1.47173	1.22912	1.08446	
0.471713	1.00258	1.39859	1.17097	
1.87878	2.40197	1.82804	1.03767	
0.435579	1.38264	1.21663	0.788123	
0.0385818	1.37104	1.37759	0.927806	
0.296977	0.0901274	0.596948	0.986453	
1.34662	0.498728	1.10292	0.912075	
1.35798	0.71041	1.0312	1.01906	
2.21607	0.581262	0.78292	1.17594	
1.57447	2.13698	1.02917	0.975265	
0.809947	1.92692	0.57068	1.18267	
1.25332	1.05048	0.997472	1.06222	
0.0233613	0.226673	0.810498	0.920559	
2.59704	0.585057	1.6051	1.00148	
0.139548	0.323826	0.996558	1.23888	
0.025958	2.78934	1.07971	1.1762	
1.4126	0.943904	0.797937	0.907563	
0.00572492	1.74267	1.20127	0.948638	
0.269238	0.967216	0.828079	1.03987	
0.039437	1.59439	1.10687	0.864609	
1.35739	0.0469934	1.03884	0.939292	
0.286282	1.06686	0.860793	0.880705	
1.05502	0.475108	1.17127	1.11631	
0.314044	0.315851	0.807471	1.03143	
0.206287	1.06719	1.25939	1.10059	
0.726092	0.153818	1.28581	0.894414	
0.15452	2.39134	0.543058	0.90193	
0.195091	0.448543	0.779614	0.990817	
0.25019	0.150121	1.5248	0.860632	
0.021771	0.760978	1.32546	0.938548	
0.279627	0.290118	1.16475	0.811201	
0.604659	0.453686	1.02234	1.03255	
1.05925	0.812008	1.20352	1.13019	
0.283149	2.26812	0.840701	1.08491	
0.778731	1.09062	0.996344	0.919139	
0.455038	0.592463	1.48609	0.982766	
1.36106	0.133911	1.20254	0.940365	
0.0775701	0.343158	0.824534	0.995194	
0.385197	0.15331	0.661632	0.835969	
1.162	0.85554	1.55764	0.991425	
0.0768512	1.43482	1.97767	0.935634	
0.114135	2.03189	0.725328	1.00629	
1.18795	0.420909	0.93432	1.01517	
0.579285	0.60372	1.28889	0.923265	
0.0459703	1.24486	0.808995	0.908011	
1.38233	0.631291	0.873494	1.20495	
0.39509	1.61877	1.10226	1.01883	
0.777847	0.534723	1.01481	1.22427	
0.0447084	1.30761	0.619839	0.952838	
0.151152	1.33692	0.731672	0.99222	
0.53653	1.77185	1.32283	1.07234	
0.135779	0.868875	0.604782	1.05469	
1.16612	0.465453	1.02152	1.08043	
3.4712	1.35632	0.98833	1.03832	
1.26398	0.300898	1.16304	0.876738	
1.81389	0.368645	0.973985	0.903169	
0.402887	0.422796	0.769614	1.03491	
1.42905	0.581314	1.04443	1.10884	
1.93231	0.319706	1.24103	0.956051	
1.7626	1.19809	1.03825	1.16677	
1.57815	0.307793	0.808954	0.942393	
0.174903	1.06707	0.737179	1.16313	
0.341161	0.599965	1.16444	1.04072	
0.576215	0.6592	1.2757	1.26367	
0.349538	0.661413	1.08055	1.09456	
0.230475	1.43005	0.893665	1.18492	
0.217167	0.580989	0.818202	1.09456	
1.71494	0.563752	0.954265	0.936668	
0.0654654	0.749373	0.940784	0.971695	
0.421678	1.0715	1.1503	0.889193	
0.427783	0.670383	0.929459	1.04617	
1.95732	1.06615	1.12809	0.917951	
5.10834	0.525862	1.11749	1.06698	
0.488769	1.51822	0.909223	1.1541	
0.574073	0.363054	0.851621	0.948484	
0.46624	0.275534	1.32895	0.882417	
0.0215876	0.958848	0.855442	0.962117	
0.480952	0.209105	1.29328	1.00761	
0.478238	0.481851	1.13882	0.881165	
2.24766	0.555715	0.644407	0.958694	
0.102464	1.2463	0.908895	0.920885	
0.0374983	0.496891	0.571509	0.998869	
1.81758	1.00469	1.62801	1.02782	
2.58375	1.32631	1.12601	0.921193	
0.750673	1.536	1.16738	0.935362	
0.851079	0.505133	0.780502	1.11814	
1.48848	0.083371	0.87866	0.946336	
1.9517	0.274508	1.23444	0.89574	
0.18632	0.582085	1.12682	0.9391	
0.356946	1.14641	1.19207	0.987965	
0.683453	1.80251	0.742287	1.05164	
0.149017	0.866061	1.04181	0.843867	
4.04803	3.53076	1.36564	0.996299	
0.836818	0.502252	1.04521	0.980835	
1.33559	0.307125	1.42126	0.954398	
0.713381	0.737584	1.53029	0.837161	
0.955778	0.371333	1.00713	1.13161	
1.18309	0.268035	1.31659	0.905243	
0.298385	0.799943	0.510733	1.03305	
0.57053	1.30405	1.33394	0.985012	
0.163692	0.389623	1.12285	0.926103	
2.28923	1.14623	0.70322	0.960047	
1.5733	0.516369	1.00063	0.942601	
0.352994	1.62446	0.571882	1.08736	
0.551825	0.678672	1.10161	1.04147	
1.42505	0.639325	0.455298	1.09214	
0.695101	0.294265	1.20797	1.17051	
0.533964	0.163456	1.25322	0.916915	
0.318874	0.420384	0.779396	1.19421	
0.441227	0.95634	0.58387	1.23472	
0.245944	0.0422892	0.862747	1.21308	
