N=1	N=2	N=10	N=100
0.127985	0.645692	0.360533	0.537745	
0.423049	0.717223	0.564784	0.546262	
0.581377	0.417711	0.617185	0.507285	
0.478853	0.552334	0.563076	0.447253	
0.513162	0.708443	0.395865	0.489774	
0.352036	0.245158	0.436857	0.505686	
0.642809	0.534504	0.523343	0.462136	
0.82047	0.341024	0.602125	0.455939	
0.249172	0.542271	0.569506	0.503893	
0.76267	0.795924	0.351927	0.493434	
0.549275	0.105015	0.432611	0.514351	
0.544523	0.434107	0.543942	0.532505	
0.067365	0.529872	0.427972	0.490127	
0.502878	0.418549	0.706706	0.46537	
0.57802	0.485449	0.483102	0.555371	
0.633929	0.483347	0.698418	0.499631	
0.633958	0.401779	0.600604	0.510015	
0.0177838	0.725936	0.575717	0.503145	
0.84572	0.748792	0.588322	0.506619	
0.695401	0.75901	0.539204	0.520337	
0.0134778	0.640582	0.417315	0.475015	
0.539094	0.132397	0.675144	0.475849	
0.994082	0.525303	0.422374	0.514016	
0.306829	0.503963	0.452084	0.491371	
0.229488	0.754956	0.647446	0.520577	
0.259599	0.554246	0.445791	0.540117	
0.488265	0.274583	0.440914	0.518898	
0.0959795	0.778933	0.484471	0.52374	
0.0215197	0.699612	0.473635	0.504971	
0.76168	0.439524	0.511753	0.507652	
0.712035	0.716181	0.442993	0.465318	
0.616802	0.413123	0.488913	0.513909	
0.689237	0.224062	0.427758	0.497179	
0.894803	0.718367	0.587742	0.523867	
0.346333	0.687326	0.608617	0.505257	
0.196216	0.644831	0.735322	0.466106	
0.704408	0.631581	0.489076	0.545821	
0.699844	0.472188	0.460537	0.474682	
0.703893	0.400286	0.45422	0.474609	
0.0397819	0.650467	0.287433	0.443593	
0.665664	0.52679	0.453664	0.493853	
0.929793	0.42878	0.586279	0.558574	
0.22853	0.801421	0.415178	0.437711	
0.15947	0.507271	0.544929	0.476388	
0.871452	0.395705	0.467194	0.506857	
0.070642	0.610299	0.43993	0.453033	
0.0641281	0.414996	0.535571	0.473188	
0.302514	0.492454	0.677278	0.513861	
0.0879573	0.627607	0.570946	0.473782	
0.65772	0.587865	0.528751	0.541788	
0.109689	0.675489	0.627723	0.467855	
0.729909	0.454215	0.53973	0.479767	
0.379827	0.248487	0.606934	0.518038	
0.0274158	0.513958	0.62773	0.491859	
0.30092	0.363294	0.426984	0.539685	
0.160705	0.450533	0.574767	0.5387	
0.634515	0.64796	0.48791	0.496781	
0.63948	0.782807	0.589054	0.50571	
0.837678	0.47364	0.543011	0.529447	
0.739162	0.779591	0.459519	0.46845	
0.722388	0.465045	0.550088	0.521927	
0.729314	0.868322	0.584653	0.478991	
0.895584	0.343002	0.491763	0.509882	
0.802776	0.448524	0.545089	0.491501	
0.264136	0.635084	0.521512	0.485814	
0.562706	0.354789	0.513034	0.471453	
0.0486779	0.369576	0.539788	0.53008	
0.36801	0.259752	0.418195	0.517659	
0.48823	0.534825	0.570309	0.497448	
0.00832593	0.841182	0.478768	0.488212	
0.561043	0.495263	0.423503	0.52256	
0.476452	0.438735	0.55789	0.482772	
0.511654	0.402421	0.620437	0.504723	
0.838198	0.886639	0.362577	0.518435	
0.0957895	0.629386	0.503212	0.505263	
0.25739	0.173561	0.306224	0.477366	
0.0179803	0.523225	0.376234	0.528959	
0.216901	0.780947	0.356714	0.534309	
0.800091	0.3148	0.419012	0.456653	
0.195176	0.362478	0.655356	0.483098	
0.283065	0.392952	0.681853	0.508241	
0.631114	0.66594	0.546696	0.467762	
0.559518	0.153442	0.440627	0.478363	
0.604062	0.235406	0.595734	0.520773	
0.948799	0.0914427	0.620857	0.515566	
0.208354	0.585103	0.46614	0.466262	
0.221661	0.371477	0.514985	0.507617	
0.703617	0.481698	0.67928	0.505715	
0.101996	0.380003	0.560601	0.469281	
0.424648	0.270445	0.513991	0.50019	
0.359852	0.52732	0.546211	0.485024	
0.479734	0.419042	0.62401	0.496019	
0.904664	0.592635	0.45378	0.491967	
0.833916	0.446533	0.767449	0.488126	
0.61819	0.424736	0.38701	0.518584	
0.266285	0.60455	0.405889	0.516047	
0.163649	0.308398	0.576605	0.467387	
0.176782	0.887501	0.401975	0.485952	
0.628315	0.526193	0.43534	0.52085	
0.778519	0.833776	0.420962	0.518074	
0.33553	0.713264	0.522527	0.473569	
0.334419	0.337439	0.58149	0.461395	
0.0396321	0.369497	0.435236	0.504531	
0.290559	0.59885	0.414595	0.513501	
0.144158	0.192082	0.458314	0.466153	
0.656142	0.819016	0.53484	0.525484	
0.324554	0.536697	0.557764	0.546265	
0.426067	0.873073	0.511043	0.523217	
0.444519	0.304279	0.523626	0.534992	
0.561236	0.117963	0.503454	0.471844	
0.0195677	0.534161	0.531828	0.495348	
0.305174	0.833403	0.469154	0.473811	
0.492604	0.222645	0.317026	0.516298	
0.630815	0.33835	0.532329	0.50677	
0.0956964	0.504785	0.511989	0.512653	
0.774762	0.789278	0.359882	0.508998	
0.265326	0.347575	0.523699	0.492485	
0.0802692	0.558925	0.471811	0.568079	
0.716285	0.558382	0.48111	0.516338	
0.387496	0.308324	0.51708	0.458164	
0.899695	0.60644	0.428988	0.505033	
0.234431	0.155355	0.438492	0.476788	
0.0778727	0.287626	0.521525	0.489013	
0.46287	0.656728	0.450774	0.478038	
0.262588	0.428937	0.515332	0.487219	
0.894375	0.345448	0.614731	0.498235	
0.0266431	0.410279	0.244088	0.472362	
0.767668	0.231556	0.615468	0.558322	
0.791469	0.136274	0.309157	0.531206	
0.0466688	0.710639	0.600168	0.471196	
0.227976	0.182125	0.396966	0.528528	
0.431546	0.369135	0.565999	0.514481	
0.326012	0.639471	0.442025	0.517765	
0.763798	0.280598	0.505011	0.505473	
0.71293	0.0598405	0.404805	0.514459	
0.0349849	0.669873	0.468777	0.524937	
0.0381174	0.116944	0.392591	0.529676	
0.200745	0.359958	0.321153	0.45819	
0.349914	0.422182	0.396116	0.50961	
0.272134	0.375703	0.412791	0.457401	
0.714574	0.5033	0.521052	0.526541	
0.910796	0.435488	0.438141	0.542159	
0.252865	0.407248	0.406792	0.465472	
0.131623	0.648765	0.516421	0.559194	
0.597364	0.502157	0.596422	0.487224	
0.168347	0.724499	0.389109	0.499111	
0.243262	0.581333	0.607682	0.556119	
0.617188	0.794042	0.573621	0.505919	
0.380206	0.830081	0.512604	0.546366	
0.263798	0.394661	0.506716	0.536826	
0.48031	0.771929	0.563628	0.503823	
0.141093	0.696686	0.535382	0.475906	
0.52862	0.463656	0.517434	0.496251	
0.772843	0.572659	0.518331	0.500164	
0.35341	0.586958	0.322331	0.52665	
0.892172	0.34653	0.575296	0.536253	
0.160864	0.816693	0.528103	0.429691	
0.328063	0.522881	0.378024	0.517229	
0.129174	0.580136	0.548429	0.492282	
0.763579	0.325239	0.525404	0.469158	
0.718421	0.601661	0.427268	0.481394	
0.444511	0.563747	0.472631	0.486271	
0.940966	0.446752	0.518182	0.492877	
0.410818	0.750385	0.461231	0.481419	
0.58098	0.273204	0.440112	0.514472	
0.263965	0.331843	0.490187	0.507023	
0.125431	0.34592	0.592854	0.51119	
0.317584	0.307976	0.521652	0.499547	
0.749463	0.619017	0.459326	0.518115	
0.756899	0.523924	0.528643	0.439844	
0.114343	0.807705	0.376085	0.482167	
0.525624	0.750269	0.416087	0.499727	
0.432812	0.524031	0.550807	0.477075	
0.81065	0.55263	0.465885	0.472833	
0.892064	0.62236	0.576995	0.563268	
0.117052	0.366568	0.532102	0.485052	
0.624849	0.519712	0.438482	0.521212	
0.871339	0.639481	0.410992	0.523965	
0.0831429	0.612365	0.453336	0.469786	
0.335988	0.415885	0.631805	0.52872	
0.93525	0.335979	0.495501	0.46397	
0.31197	0.422087	0.70123	0.492665	
0.0392108	0.806975	0.367313	0.459824	
0.145423	0.494214	0.424212	0.525527	
0.525942	0.755713	0.38671	0.485121	
0.667022	0.542462	0.576823	0.521166	
0.691108	0.386674	0.582741	0.471184	
0.310007	0.635573	0.51893	0.466666	
0.0772223	0.650611	0.302223	0.470429	
0.283225	0.468649	0.620996	0.515868	
0.60667	0.517246	0.660546	0.505777	
0.0828281	0.642232	0.387842	0.483777	
0.436544	0.234368	0.544809	0.53676	
0.046918	0.728426	0.648307	0.515743	
0.676093	0.588225	0.527218	0.475026	
0.0919685	0.42055	0.456942	0.484157	
0.750833	0.449213	0.597924	0.53581	
0.7014	0.73548	0.499971	0.519049	
0.508372	0.209238	0.517314	0.53362	
0.939914	0.366884	0.578659	0.464153	
0.307882	0.711858	0.682411	0.515603	
0.185238	0.586028	0.387824	0.489259	
0.180672	0.463289	0.608446	0.492759	
0.746085	0.692995	0.34217	0.503878	
0.464968	0.754375	0.546392	0.531419	
0.508206	0.40613	0.533811	0.491561	
0.998333	0.294313	0.519907	0.51407	
0.811528	0.279571	0.598669	0.532572	
0.468207	0.336523	0.425488	0.51456	
0.320009	0.532915	0.581629	0.525565	
0.800679	0.505523	0.341291	0.510685	
0.728036	0.664801	0.631694	0.517047	
0.80311	0.572991	0.322469	0.498383	
0.684393	0.700275	0.601368	0.46843	
0.835034	0.715979	0.564546	0.543825	
0.585786	0.764634	0.397823	0.489821	
0.1976	0.469118	0.612627	0.519138	
0.0947327	0.342294	0.443866	0.503463	
0.910149	0.378773	0.444084	0.475656	
0.9794	0.722401	0.296494	0.460499	
0.349678	0.511278	0.57174	0.519315	
0.685425	0.184434	0.394047	0.517764	
0.366078	0.280932	0.499166	0.498501	
0.828788	0.425087	0.383008	0.482993	
0.792876	0.395358	0.598344	0.491289	
0.415979	0.209368	0.273945	0.501771	
0.139781	0.560934	0.658044	0.485661	
0.706069	0.416651	0.586959	0.548875	
0.557231	0.343192	0.37436	0.499023	
0.0227728	0.294888	0.596345	0.483941	
0.98743	0.495409	0.443571	0.491466	
0.512535	0.587699	0.398065	0.497863	
0.0392638	0.659399	0.35377	0.548235	
0.319175	0.446667	0.49633	0.49334	
0.712249	0.485361	0.497487	0.511749	
0.63026	0.715384	0.57868	0.55183	
0.962445	0.489365	0.526226	0.515861	
0.331688	0.397415	0.485332	0.547084	
0.351426	0.239957	0.479575	0.556976	
0.763345	0.444954	0.390821	0.447968	
0.784853	0.485165	0.472046	0.505471	
0.422715	0.912166	0.582931	0.471235	
0.851333	0.100843	0.565681	0.487859	
0.796754	0.609809	0.406325	0.506636	
0.281799	0.664545	0.470236	0.476776	
0.385495	0.610743	0.475407	0.49353	
0.305188	0.822798	0.674539	0.518622	
0.380341	0.532471	0.610491	0.484156	
0.280593	0.115721	0.667805	0.457063	
0.200933	0.863918	0.604352	0.46206	
0.683014	0.540705	0.509525	0.530307	
0.367497	0.474534	0.508239	0.552047	
0.228469	0.377201	0.554904	0.525473	
0.198059	0.398011	0.368267	0.491241	
0.836003	0.283978	0.602484	0.521817	
0.508359	0.236618	0.481095	0.511299	
0.102913	0.889183	0.467171	0.485263	
0.519346	0.399761	0.577358	0.468077	
0.935378	0.486099	0.349511	0.488834	
0.254733	0.764595	0.39422	0.499739	
0.389967	0.515837	0.467135	0.474554	
0.600222	0.582846	0.576626	0.468319	
0.282617	0.279513	0.552748	0.511652	
0.546865	0.398089	0.473949	0.476865	
0.817837	0.482912	0.51669	0.515341	
0.650994	0.480516	0.57201	0.481537	
0.320299	0.328126	0.409688	0.506263	
0.921326	0.691455	0.513812	0.525128	
0.191598	0.432267	0.380489	0.518876	
0.482678	0.474014	0.473799	0.492	
0.741366	0.456808	0.466935	0.465143	
0.136267	0.82335	0.554564	0.498997	
0.0747779	0.496053	0.496689	0.470488	
0.330564	0.249938	0.513019	0.521312	
0.743585	0.377907	0.485643	0.473981	
0.217986	0.453527	0.542267	0.449816	
0.843897	0.232908	0.479804	0.50879	
0.266834	0.684958	0.37987	0.439723	
0.953432	0.439607	0.320678	0.569522	
0.885245	0.136929	0.606689	0.51971	
0.534962	0.403735	0.606558	0.525519	
0.3034	0.454517	0.555957	0.463682	
0.441426	0.143305	0.726805	0.495611	
0.730584	0.905394	0.616189	0.513398	
0.232685	0.414958	0.467569	0.518317	
0.0969213	0.511862	0.628769	0.463089	
0.00448559	0.372826	0.367539	0.515909	
0.387499	0.403634	0.438531	0.511815	
0.943762	0.40453	0.396494	0.557002	
0.289376	0.731067	0.440052	0.515807	
0.779647	0.585485	0.372626	0.451407	
0.776776	0.733457	0.340703	0.522835	
0.958508	0.535049	0.526972	0.52474	
0.740691	0.386236	0.46914	0.489743	
0.900357	0.434579	0.388117	0.500329	
0.0235996	0.82086	0.553563	0.466107	
0.747994	0.296086	0.452264	0.441384	
0.307012	0.369906	0.415405	0.472164	
0.778452	0.788065	0.670515	0.441038	
0.919698	0.264362	0.554849	0.563049	
0.167706	0.273798	0.611088	0.522479	
0.24272	0.445356	0.335517	0.507443	
0.502328	0.304814	0.538258	0.531714	
0.0533463	0.527265	0.720658	0.488355	
0.938541	0.252067	0.496613	0.501552	
0.891088	0.876243	0.613538	0.530932	
0.439023	0.616121	0.416651	0.482614	
0.657452	0.466143	0.481739	0.492883	
0.440447	0.560439	0.447193	0.485538	
0.993464	0.666235	0.5849	0.45877	
0.413044	0.286939	0.366005	0.509179	
0.576354	0.695152	0.405631	0.503587	
0.265453	0.736879	0.552908	0.426194	
0.88742	0.742255	0.476301	0.469033	
0.649483	0.711853	0.499103	0.470933	
0.800671	0.510614	0.504861	0.476027	
0.811582	0.347496	0.289718	0.529211	
0.0588478	0.786155	0.427403	0.464178	
0.198971	0.610902	0.567725	0.558516	
0.0733193	0.570033	0.628617	0.468129	
0.626981	0.282903	0.423714	0.485232	
0.221336	0.307181	0.579236	0.531257	
0.836442	0.568241	0.585943	0.528111	
0.966444	0.449119	0.401743	0.456987	
0.998241	0.17624	0.524906	0.473135	
0.35933	0.385121	0.488276	0.475305	
0.817746	0.403188	0.379635	0.490515	
0.437698	0.4919	0.689063	0.537843	
0.275802	0.46824	0.568975	0.438488	
0.311799	0.422572	0.5816	0.4706	
0.604478	0.441555	0.489353	0.504887	
0.595398	0.612381	0.631064	0.537637	
0.0936297	0.349481	0.624747	0.484206	
0.593989	0.53294	0.322149	0.509645	
0.288692	0.391244	0.451717	0.511364	
0.667289	0.678861	0.45245	0.523945	
0.514957	0.671281	0.525531	0.553674	
0.640982	0.35474	0.206354	0.483701	
0.369613	0.508121	0.34997	0.501081	
0.939745	0.278742	0.409112	0.460362	
0.359536	0.82897	0.467312	0.539249	
0.674369	0.805997	0.558993	0.481958	
0.50218	0.116857	0.72681	0.518043	
0.70749	0.674852	0.520194	0.485798	
0.772876	0.541652	0.391718	0.553682	
0.389541	0.446219	0.59949	0.476935	
0.443978	0.44026	0.524022	0.488809	
0.573644	0.463708	0.626355	0.559272	
0.310589	0.400531	0.385119	0.49376	
0.864408	0.756107	0.494839	0.546959	
0.608464	0.765068	0.548418	0.539291	
0.322734	0.359281	0.506544	0.532994	
0.351107	0.615417	0.60785	0.49208	
0.0106731	0.522957	0.539201	0.495479	
0.16758	0.470868	0.519086	0.512235	
0.143198	0.867297	0.444716	0.491447	
0.0313935	0.700786	0.672721	0.504452	
0.816956	0.566194	0.54892	0.472091	
0.659013	0.67221	0.546606	0.475364	
0.319925	0.287499	0.52362	0.537057	
0.730199	0.115653	0.495388	0.509585	
0.14146	0.873775	0.461451	0.499362	
0.509196	0.535616	0.712559	0.512794	
0.301975	0.574283	0.581003	0.52561	
0.603162	0.375116	0.479224	0.499713	
0.254016	0.154881	0.492486	0.528365	
0.0932987	0.658698	0.50208	0.457472	
0.957399	0.877121	0.528071	0.496017	
0.0984616	0.717837	0.674655	0.503248	
0.3379	0.343457	0.439624	0.477238	
0.0721586	0.726297	0.500244	0.508967	
0.0689056	0.536021	0.621783	0.496124	
0.63956	0.437308	0.430961	0.473517	
0.156961	0.394416	0.613121	0.521505	
0.271422	0.53925	0.464356	0.560443	
0.945264	0.576319	0.51021	0.473127	
0.735147	0.922728	0.562963	0.473947	
0.77039	0.67072	0.402026	0.520335	
0.641906	0.558375	0.460712	0.504853	
0.198969	0.671134	0.529826	0.505677	
0.241996	0.327094	0.574104	0.524728	
0.0146665	0.383712	0.312023	0.544826	
0.547874	0.495198	0.400729	0.49979	
0.0776825	0.646265	0.608781	0.533915	
0.0338684	0.667733	0.562083	0.486691	
0.229341	0.667119	0.59208	0.505759	
0.30089	0.450312	0.484395	0.481943	
0.573065	0.605938	0.392102	0.460461	
0.182649	0.712587	0.596511	0.495141	
0.921585	0.870609	0.540254	0.469519	
0.364152	0.450653	0.578469	0.517053	
0.234961	0.56104	0.411898	0.453769	
0.293885	0.921021	0.47598	0.502188	
0.565986	0.672803	0.472178	0.51005	
0.712575	0.331785	0.604632	0.523639	
0.092005	0.634068	0.524139	0.487143	
0.80906	0.260376	0.382651	0.506004	
0.12448	0.944831	0.463594	0.507198	
0.507884	0.676246	0.533522	0.494921	
0.253069	0.274388	0.257017	0.521193	
0.936175	0.240927	0.5568	0.516983	
0.0313222	0.43988	0.543238	0.550588	
0.439952	0.44245	0.581201	0.502246	
0.10055	0.408369	0.385422	0.531397	
0.0371868	0.396868	0.474948	0.534191	
0.98563	0.525428	0.704221	0.483835	
0.043513	0.551245	0.654731	0.476288	
0.980469	0.2238	0.470143	0.47987	
0.518017	0.646474	0.359109	0.463404	
0.876546	0.68399	0.598097	0.504194	
0.115159	0.152421	0.525102	0.473293	
0.970966	0.686717	0.575322	0.483217	
0.860334	0.510185	0.65947	0.525573	
0.262008	0.943853	0.541021	0.513371	
0.464545	0.746873	0.613387	0.519077	
0.726904	0.438512	0.586837	0.485602	
0.824086	0.633105	0.489422	0.46947	
0.0411985	0.509535	0.447976	0.528976	
0.91546	0.530173	0.616693	0.542207	
0.14155	0.636992	0.468918	0.484707	
0.0494439	0.09276	0.463362	0.504577	
0.0940164	0.57618	0.458933	0.473555	
0.349757	0.0506532	0.593702	0.521304	
0.256072	0.489075	0.474919	0.512202	
0.403891	0.281043	0.370086	0.502795	
0.780656	0.253845	0.65735	0.507176	
0.127024	0.403111	0.457521	0.523535	
0.634137	0.265085	0.516901	0.481532	
0.155769	0.500535	0.645998	0.565285	
0.154065	0.505276	0.621336	0.505757	
0.225703	0.633688	0.630576	0.478517	
0.483847	0.762277	0.331099	0.533355	
0.204644	0.641911	0.593619	0.431449	
0.672473	0.510424	0.493641	0.473516	
0.591606	0.300569	0.509486	0.473032	
0.865568	0.463333	0.373599	0.489642	
0.549997	0.305429	0.385339	0.480882	
0.0243702	0.59612	0.49806	0.524728	
0.445273	0.769759	0.536819	0.458395	
0.116026	0.16626	0.451129	0.535443	
0.415488	0.952596	0.425632	0.538636	
0.591483	0.181238	0.444238	0.515246	
0.532406	0.938554	0.513265	0.468123	
0.421644	0.485452	0.432005	0.51439	
0.0424395	0.643561	0.405512	0.494618	
0.0550199	0.144786	0.615221	0.493493	
0.686972	0.847211	0.402744	0.494965	
0.594286	0.366795	0.475407	0.529301	
0.293266	0.713558	0.421503	0.486954	
0.95646	0.872875	0.474472	0.516824	
0.644059	0.800054	0.641188	0.482376	
0.378113	0.337559	0.634536	0.509614	
0.626959	0.012462	0.461161	0.526888	
0.697482	0.913961	0.501646	0.5328	
0.16203	0.471574	0.376866	0.467524	
0.916342	0.526763	0.289293	0.486838	
0.581843	0.782127	0.453981	0.54191	
0.826515	0.791239	0.796231	0.483856	
0.407868	0.384279	0.528048	0.494805	
0.731714	0.633523	0.493082	0.479725	
0.076832	0.646313	0.688667	0.45944	
0.615375	0.395205	0.590271	0.543732	
0.786345	0.538946	0.487194	0.547043	
0.156058	0.766963	0.409771	0.521417	
0.166276	0.869555	0.605958	0.49327	
0.263312	0.504274	0.488025	0.517674	
0.357079	0.342734	0.636621	0.484955	
0.545373	0.896448	0.391781	0.518303	
0.493814	0.399008	0.753828	0.469098	
0.743458	0.540499	0.391475	0.506347	
0.431714	0.367162	0.438396	0.52545	
0.831506	0.687507	0.517403	0.518873	
0.819922	0.193913	0.464653	0.476731	
0.775573	0.532086	0.553372	0.493636	
0.468169	0.489549	0.452911	0.509891	
0.515099	0.596688	0.560744	0.502194	
0.47221	0.490649	0.470168	0.539835	
0.897441	0.482994	0.48892	0.516405	
0.915711	0.803816	0.5209	0.450872	
0.653762	0.785107	0.39488	0.509004	
0.306873	0.52919	0.360503	0.517301	
0.625217	0.688643	0.525512	0.472924	
0.992763	0.56802	0.669485	0.51936	
0.832204	0.400411	0.498862	0.520551	
0.287793	0.523826	0.631535	0.503401	
0.531365	0.419196	0.517037	0.496457	
0.621989	0.687241	0.493763	0.514567	
0.63647	0.47269	0.410824	0.525339	
0.69391	0.504226	0.726074	0.459691	
0.299901	0.439095	0.422505	0.499387	
0.871011	0.674855	0.603463	0.520571	
0.442948	0.661278	0.488618	0.46373	
0.456985	0.351851	0.397208	0.495135	
0.795913	0.352156	0.362927	0.466821	
0.562727	0.618576	0.553941	0.492926	
0.0559898	0.153843	0.439832	0.493965	
0.505461	0.243395	0.407338	0.479919	
0.544583	0.751602	0.427899	0.489645	
0.380886	0.388145	0.309085	0.52416	
0.0987278	0.621448	0.385707	0.477437	
0.134727	0.181871	0.487236	0.462998	
0.170198	0.297627	0.493996	0.526143	
0.302332	0.210075	0.58036	0.530578	
0.3242	0.425705	0.637089	0.500157	
0.32183	0.304249	0.5417	0.506239	
0.995147	0.512385	0.518221	0.486426	
0.879072	0.414608	0.582999	0.4981	
0.943469	0.596678	0.28108	0.50297	
0.130041	0.221582	0.590306	0.484264	
0.621173	0.332428	0.646286	0.530493	
0.456466	0.306852	0.441965	0.478308	
0.470785	0.480011	0.488233	0.514524	
0.575297	0.355599	0.424186	0.46641	
0.670017	0.53758	0.579658	0.461798	
0.37775	0.466193	0.523741	0.486447	
0.800867	0.103893	0.422904	0.42489	
0.816324	0.229033	0.455906	0.475707	
0.488969	0.516645	0.617014	0.454165	
0.462857	0.636298	0.684721	0.502133	
0.629124	0.143069	0.432499	0.498347	
0.640442	0.152791	0.515235	0.502229	
0.351048	0.555299	0.452378	0.488696	
0.277787	0.595661	0.595118	0.524978	
0.802661	0.448191	0.650743	0.492902	
0.898943	0.500813	0.537155	0.479543	
0.10312	0.248639	0.488445	0.50454	
0.990289	0.921402	0.363314	0.507537	
0.679642	0.241577	0.409503	0.520779	
0.844377	0.605226	0.30056	0.511156	
0.222922	0.746163	0.412034	0.505856	
0.842495	0.865275	0.556524	0.495935	
0.540121	0.219853	0.434137	0.515219	
0.875792	0.134661	0.470134	0.528783	
0.503732	0.514141	0.468828	0.507624	
0.709594	0.701284	0.459074	0.525554	
0.0267609	0.602256	0.607374	0.468503	
0.739353	0.594454	0.495598	0.488764	
0.040629	0.520396	0.644093	0.512986	
0.947294	0.492294	0.461473	0.459246	
0.524461	0.460506	0.522572	0.476126	
0.0869618	0.328356	0.620121	0.492053	
0.57335	0.768105	0.569692	0.52007	
0.195377	0.434246	0.526433	0.494989	
0.370355	0.489366	0.492294	0.541455	
0.884505	0.189432	0.494074	0.584664	
0.557508	0.174444	0.487719	0.529727	
0.279299	0.509467	0.388926	0.537739	
0.407897	0.441189	0.403704	0.53095	
0.497762	0.5275	0.394676	0.509365	
0.379364	0.340291	0.447424	0.457717	
0.459637	0.415689	0.536007	0.497778	
0.279868	0.655301	0.576843	0.546163	
0.475287	0.518856	0.492246	0.548445	
0.971739	0.409881	0.522053	0.473661	
0.487	0.498268	0.560269	0.539035	
0.14559	0.053667	0.431517	0.497099	
0.794873	0.910603	0.617999	0.506702	
0.583484	0.28293	0.620606	0.479901	
0.0383612	0.625282	0.433182	0.522115	
0.389036	0.9255	0.536879	0.561227	
0.438487	0.29872	0.477437	0.51108	
0.737039	0.412258	0.538783	0.499372	
0.793913	0.0971468	0.508086	0.496962	
0.0697123	0.749928	0.525973	0.480317	
0.998433	0.500651	0.480584	0.488698	
0.393906	0.481138	0.533223	0.483014	
0.659608	0.324791	0.506842	0.490629	
0.101405	0.36005	0.614053	0.51744	
0.0774305	0.37655	0.551481	0.481173	
0.233718	0.777356	0.491048	0.492252	
0.291195	0.256593	0.401134	0.470471	
0.700432	0.273396	0.460512	0.520732	
0.603442	0.618122	0.722669	0.505119	
0.717477	0.624101	0.367425	0.455992	
0.316483	0.560009	0.56369	0.508563	
